output_name,mut_rate,num_mut_leaves,sample_size,freq_mut_outcome
run1606,0.4,100,100,1.0
run1607,0.4,100,100,1.0
run1608,0.4,86,100,0.86
run1609,0.4,89,100,0.89
run160,0.025,26,100,0.26
run1610,0.4,100,100,1.0
run1611,0.4,89,100,0.89
run1612,0.4,100,100,1.0
run1613,0.4,100,100,1.0
run1614,0.4,100,100,1.0
run1615,0.4,100,100,1.0
run1616,0.4,100,100,1.0
run1617,0.4,100,100,1.0
run1618,0.4,100,100,1.0
run1619,0.4,100,100,1.0
run161,0.025,14,100,0.14
run1620,0.4,82,100,0.82
run1621,0.4,82,100,0.82
run1622,0.4,100,100,1.0
run1623,0.4,100,100,1.0
run1624,0.4,100,100,1.0
run1625,0.4,100,100,1.0
run1626,0.4,89,100,0.89
run1627,0.4,97,100,0.97
run1628,0.4,100,100,1.0
run1629,0.4,100,100,1.0
run162,0.025,29,100,0.29
run1630,0.4,100,100,1.0
run1631,0.4,100,100,1.0
run1632,0.4,100,100,1.0
run1633,0.4,97,100,0.97
run1634,0.4,98,100,0.98
run1635,0.4,100,100,1.0
run1636,0.4,97,100,0.97
run1637,0.4,97,100,0.97
run1638,0.4,100,100,1.0
run1639,0.4,100,100,1.0
run163,0.025,0,100,0.0
run1640,0.4,100,100,1.0
run1641,0.4,100,100,1.0
run1642,0.4,91,100,0.91
run1643,0.4,100,100,1.0
run1644,0.4,100,100,1.0
run1645,0.4,94,100,0.94
run1646,0.4,98,100,0.98
run1647,0.4,100,100,1.0
run1648,0.4,100,100,1.0
run1649,0.4,100,100,1.0
run164,0.025,26,100,0.26
run1650,0.4,96,100,0.96
run1651,0.4,94,100,0.94
run1652,0.4,97,100,0.97
run1653,0.4,88,100,0.88
run1654,0.4,100,100,1.0
run1655,0.4,100,100,1.0
run1656,0.4,100,100,1.0
run1657,0.4,87,100,0.87
run1658,0.4,86,100,0.86
run1659,0.4,89,100,0.89
run165,0.025,18,100,0.18
run1660,0.4,100,100,1.0
run1661,0.4,100,100,1.0
run1662,0.4,99,100,0.99
run1663,0.4,100,100,1.0
run1664,0.4,100,100,1.0
run1665,0.4,100,100,1.0
run1666,0.4,99,100,0.99
run1667,0.4,100,100,1.0
run1668,0.4,100,100,1.0
run1669,0.4,100,100,1.0
run166,0.025,17,100,0.17
run1670,0.4,100,100,1.0
run1671,0.4,100,100,1.0
run1672,0.4,91,100,0.91
run1673,0.4,100,100,1.0
run1674,0.4,100,100,1.0
run1675,0.4,100,100,1.0
run1676,0.4,97,100,0.97
run1677,0.4,100,100,1.0
run1678,0.4,100,100,1.0
run1679,0.4,98,100,0.98
run167,0.025,100,100,1.0
run1680,0.4,100,100,1.0
run1681,0.4,92,100,0.92
run1682,0.4,100,100,1.0
run1683,0.4,100,100,1.0
run1684,0.4,100,100,1.0
run1685,0.4,100,100,1.0
run1686,0.4,100,100,1.0
run1687,0.4,100,100,1.0
run1688,0.4,100,100,1.0
run1689,0.4,100,100,1.0
run168,0.025,2,100,0.02
run1690,0.4,100,100,1.0
run1691,0.4,100,100,1.0
run1692,0.4,97,100,0.97
run1693,0.4,100,100,1.0
run1694,0.4,94,100,0.94
run1695,0.4,100,100,1.0
run1696,0.4,99,100,0.99
run1697,0.4,100,100,1.0
run1698,0.4,100,100,1.0
run1699,0.4,100,100,1.0
run169,0.025,2,100,0.02
run16,0.01,0,100,0.0
run1700,0.425,99,100,0.99
run1701,0.425,100,100,1.0
run1702,0.425,100,100,1.0
run1703,0.425,84,100,0.84
run1704,0.425,93,100,0.93
run1705,0.425,100,100,1.0
run1706,0.425,98,100,0.98
run1707,0.425,95,100,0.95
run1708,0.425,98,100,0.98
run1709,0.425,100,100,1.0
run170,0.025,6,100,0.06
run1710,0.425,100,100,1.0
run1711,0.425,99,100,0.99
run1712,0.425,89,100,0.89
run1713,0.425,100,100,1.0
run1714,0.425,95,100,0.95
run1715,0.425,97,100,0.97
run1716,0.425,100,100,1.0
run1717,0.425,100,100,1.0
run1718,0.425,100,100,1.0
run1719,0.425,100,100,1.0
run171,0.025,4,100,0.04
run1720,0.425,100,100,1.0
run1721,0.425,100,100,1.0
run1722,0.425,99,100,0.99
run1723,0.425,100,100,1.0
run1724,0.425,96,100,0.96
run1725,0.425,100,100,1.0
run1726,0.425,96,100,0.96
run1727,0.425,100,100,1.0
run1728,0.425,100,100,1.0
run1729,0.425,98,100,0.98
run172,0.025,7,100,0.07
run1730,0.425,100,100,1.0
run1731,0.425,87,100,0.87
run1732,0.425,100,100,1.0
run1733,0.425,100,100,1.0
run1734,0.425,100,100,1.0
run1735,0.425,99,100,0.99
run1736,0.425,100,100,1.0
run1737,0.425,100,100,1.0
run1738,0.425,100,100,1.0
run1739,0.425,100,100,1.0
run173,0.025,20,100,0.2
run1740,0.425,96,100,0.96
run1741,0.425,100,100,1.0
run1742,0.425,100,100,1.0
run1743,0.425,91,100,0.91
run1744,0.425,94,100,0.94
run1745,0.425,88,100,0.88
run1746,0.425,100,100,1.0
run1747,0.425,100,100,1.0
run1748,0.425,100,100,1.0
run1749,0.425,100,100,1.0
run174,0.025,12,100,0.12
run1750,0.425,98,100,0.98
run1751,0.425,97,100,0.97
run1752,0.425,100,100,1.0
run1753,0.425,95,100,0.95
run1754,0.425,98,100,0.98
run1755,0.425,96,100,0.96
run1756,0.425,100,100,1.0
run1757,0.425,97,100,0.97
run1758,0.425,99,100,0.99
run1759,0.425,100,100,1.0
run175,0.025,9,100,0.09
run1760,0.425,96,100,0.96
run1761,0.425,98,100,0.98
run1762,0.425,100,100,1.0
run1763,0.425,88,100,0.88
run1764,0.425,100,100,1.0
run1765,0.425,90,100,0.9
run1766,0.425,100,100,1.0
run1767,0.425,95,100,0.95
run1768,0.425,100,100,1.0
run1769,0.425,80,100,0.8
run176,0.025,61,100,0.61
run1770,0.425,100,100,1.0
run1771,0.425,100,100,1.0
run1772,0.425,100,100,1.0
run1773,0.425,100,100,1.0
run1774,0.425,100,100,1.0
run1775,0.425,100,100,1.0
run1776,0.425,100,100,1.0
run1777,0.425,100,100,1.0
run1778,0.425,100,100,1.0
run1779,0.425,100,100,1.0
run177,0.025,2,100,0.02
run1780,0.425,100,100,1.0
run1781,0.425,87,100,0.87
run1782,0.425,100,100,1.0
run1783,0.425,100,100,1.0
